LONGITUDE,LATITUDE,TAXONOMY,MACRO_TAXONOMY,BUILDINGS,DWELLINGS,OCCUPANCY,OCCUPANCY_TYPE,SETTLEMENT_TYPE,AREA_PER_DWELLING_SQM,COST_PER_AREA_EUR,TOTAL_REPL_COST_EUR,COST_STRUCTURAL_EUR,COST_NONSTRUCTURAL_EUR,COST_CONTENTS_EUR,OCCUPANTS_PER_ASSET,OCCUPANTS_PER_ASSET_DAY,OCCUPANTS_PER_ASSET_NIGHT,OCCUPANTS_PER_ASSET_TRANSIT,OCCUPANTS_PER_ASSET_AVERAGE,ID_2,DWELLINGS_PER_BUILDING,NAME_2,ID_1,NAME_1
23.255,55.9433,MUR+CL/LWAL+CDN/HBET:1-4,"Unreinforced masonry, low rise",2167.4483,4864.4258941729995,Res,ALL,URBAN,56.0,890.625,242606431.2756265,72781929.38268796,121303215.63781328,48521286.25512531,9863.583103258105,2280.835229631197,9412.16142716284,5263.084649109734,5652.027101967924,1,2,Siauliu,1,Siauliai
23.255,55.9433,W/LPB+CDL/HBET:1-3,"Wood, low rise",556.7093,556.7093,Res,ALL,RURAL,70.0,760.0,29616934.76,8885080.428,14808467.38,5923386.9520000005,1128.8379275104974,261.0302246816724,1077.174966501088,602.3338076455074,646.8463329427559,1,1,Siauliu,1,Siauliai
23.255,55.9433,W/LPB+CDL/HBET:1-3,"Wood, low rise",2623.384,2623.384,Res,ALL,URBAN,58.0,890.625,135510375.8432,40653112.75296,67755187.9216,27102075.168640006,5319.428573627561,1230.05402450849,5075.976945812635,2838.380594030496,3048.137188117207,1,1,Siauliu,1,Siauliai
23.255,55.9433,W/LWAL+CDL/HBET:1-3,"Wood, low rise",287.2858,861.8574,Res,ALL,RURAL,58.0,760.0,37990674.192,11397202.2576,18995337.096,7598134.838400002,1747.5858966710016,404.108267574409,1667.605006731008,932.489989639938,1001.4010879817849,1,3,Siauliu,1,Siauliai
23.255,55.9433,W/LWAL+CDL/HBET:1-3,"Wood, low rise",1353.7784,4061.3352,Res,ALL,URBAN,53.0,890.625,191702331.84336,57510699.55300799,95851165.92168,38340466.368672,8235.158295529514,1904.2815339416543,7858.263923397163,4394.177527015855,4718.907661451558,1,3,Siauliu,1,Siauliai
22.8202,56.2736,CR/LFINF+CDN/H:3,"Concrete frame with infill panels, low rise, pre code",1768.9648,5306.8944,Res,ALL,RURAL,56.0,840.0,249636312.57599998,74890893.7728,124818156.28799999,49927262.5152,7700.374076518531,1780.6191007059927,7347.954906345546,4108.823352554332,4412.46578653529,2,3,Akmenes,1,Siauliai
22.8202,56.2736,CR/LFINF+CDN/H:3,"Concrete frame with infill panels, low rise, pre code",884.0247,2652.0741000000007,Res,ALL,URBAN,56.0,984.375,146199297.66623998,43859789.299871996,73099648.83311999,29239859.533248004,3848.1946519693734,889.8488349320941,3672.0762514300172,2053.348563857708,2205.0912167399397,2,3,Akmenes,1,Siauliai
22.8202,56.2736,CR/LWAL+CDN/HBET:4-10,"Concrete wall, mid rise, pre code",94.2849,942.849,Res,ALL,RURAL,56.0,840.0,44351616.95999999,13305485.087999998,22175808.48,8870323.391999999,1368.0863892206753,316.3535604706105,1305.4738634884072,729.9937962082872,783.940406722435,2,10,Akmenes,1,Siauliai
22.8202,56.2736,CR/LWAL+CDN/HBET:4-10,"Concrete wall, mid rise, pre code",47.1181,471.181,Res,ALL,URBAN,56.0,984.375,25974512.2784,7792353.683519999,12987256.1392,5194902.4556800015,683.6898728846155,158.09507882609273,652.3997803172417,364.80837004781984,391.7677430637181,2,10,Akmenes,1,Siauliai
22.8202,56.2736,MUR+CB/LWAL+CDN/HBET:1-2,"Unreinforced masonry, low rise",583.6686,583.6686,Res,ALL,RURAL,70.0,760.0,31051169.52,9315350.856,15525584.76,6210233.904,846.9108706436413,195.83797590589438,808.1507242823291,451.9010541895639,485.29658479259575,2,1,Akmenes,1,Siauliai
