LONGITUDE,LATITUDE,TAXONOMY,MACRO_TAXONOMY,BUILDINGS,OCCUPANCY,AREA_PER_BUILDING_SQM,COST_PER_AREA_EUR,TOTAL_REPL_COST_EUR,COST_STRUCTURAL_EUR,COST_NONSTRUCTURAL_EUR,COST_CONTENTS_EUR,OCCUPANTS_PER_ASSET,OCCUPANTS_PER_ASSET_DAY,OCCUPANTS_PER_ASSET_NIGHT,OCCUPANTS_PER_ASSET_TRANSIT,OCCUPANTS_PER_ASSET_AVERAGE,NAME_2,ID_2,ID_0,NAME_0,ID_1,NAME_1
-4.421910678,54.22780723,CR/LFM+CDN/H:1,"Concrete frame, low rise, pre code",1.8940077898072358,Ind,300,1758.75,999354.27021389,149903.1405320835,249838.5675534725,599612.562128334,70.88196461579089,29.369800274623717,2.474560266701876,4.75802275679958,12.200794432708392,Lonan,6,110,Isle of Man,2,Garff
-4.421910678,54.22780723,S+SL/LFM+CDN/H:1,"Steel, low rise",3.4436505269222466,Ind,300,1675.0,1730434.3897784292,259565.1584667643,432608.5974446072,1038260.6338670572,128.87629930143794,53.39963686295221,4.4992004849125005,8.650950466908322,22.18326260492434,Lonan,6,110,Isle of Man,2,Garff
-4.421910678,54.22780723,S/LFBR+CDN/H:1,"Steel, low rise",1.2052776844227864,Ind,300,1675.0,605652.0364224502,90847.80546336752,151413.00910561255,363391.2218534701,45.106704755503294,18.689872902033276,1.5747201697193751,3.0278326634179136,7.764141911723519,Lonan,6,110,Isle of Man,2,Garff
-4.421910678,54.22780723,S/LFM+CDN/H:1,"Steel, low rise",6.887301053844492,Ind,300,1675.0,3460868.7795568574,519130.3169335286,865217.1948892144,2076521.2677341143,257.7525986028758,106.79927372590437,8.998400969825,17.30190093381664,44.36652520984868,Lonan,6,110,Isle of Man,2,Garff
-4.37120191,54.28180759,CR+PC/LFM+CDN/H:1,"Concrete frame, low rise",2.363011618695537,Ind,300,1758.75,1246819.450488513,187022.917573277,311704.86262212833,748091.670293108,88.43411671507789,36.64249939265909,3.087323448640084,5.936228518616319,15.22201711997183,Maughold,7,110,Isle of Man,2,Garff
-4.37120191,54.28180759,CR/LFM+CDN/H:1,"Concrete frame, low rise, pre code",1.1815058093477686,Ind,300,1758.75,623409.7252442567,93511.4587866385,155852.43131106414,374045.835146554,44.21705835753896,18.321249696329545,1.543661724320042,2.9681142593081598,7.611008559985915,Maughold,7,110,Isle of Man,2,Garff
-4.37120191,54.28180759,S+SL/LFM+CDN/H:1,"Steel, low rise",2.148192380632307,Ind,300,1675.0,1079466.6712677341,161920.00069016012,269866.66781693354,647680.0027606405,80.39465155916173,33.31136308423554,2.8066576805818952,5.39657138056029,13.838197381792574,Maughold,7,110,Isle of Man,2,Garff
-4.37120191,54.28180759,S/LFBR+CDN/H:1,"Steel, low rise",0.7518673332213074,Ind,300,1675.0,377813.33494370704,56672.000241556045,94453.33373592676,226688.00096622415,28.138128045706612,11.658977079482439,0.9823301882036636,1.8887999831961018,4.843369083627402,Maughold,7,110,Isle of Man,2,Garff
-4.37120191,54.28180759,S/LFM+CDN/H:1,"Steel, low rise",4.296384761264614,Ind,300,1675.0,2158933.3425354683,323840.00138032023,539733.3356338671,1295360.005521281,160.78930311832346,66.62272616847108,5.613315361163791,10.79314276112058,27.676394763585147,Maughold,7,110,Isle of Man,2,Garff
-4.617407965,54.2205027,CR+PC/LFM+CDN/H:1,"Concrete frame, low rise",2.3174306839186696,Ind,300,1758.75,1222769.126062847,183415.368909427,305692.28151571174,733661.475637708,86.72828096118302,35.93568975970425,3.0277710166358607,5.821722587800371,14.928394454713494,German,8,110,Isle of Man,3,Glenfaba
