LONGITUDE,LATITUDE,TAXONOMY,MACRO_TAXONOMY,BUILDINGS,DWELLINGS,OCCUPANCY,OCCUPANCY_TYPE,SETTLEMENT_TYPE,AREA_PER_DWELLING_SQM,COST_PER_AREA_EUR,TOTAL_REPL_COST_EUR,COST_STRUCTURAL_EUR,COST_NONSTRUCTURAL_EUR,COST_CONTENTS_EUR,OCCUPANTS_PER_ASSET,OCCUPANTS_PER_ASSET_DAY,OCCUPANTS_PER_ASSET_NIGHT,OCCUPANTS_PER_ASSET_TRANSIT,OCCUPANTS_PER_ASSET_AVERAGE,ID_4,NAME_4,ID_1,NAME_1,ID_2,NAME_2
4.4861,51.1239,CR/LWAL+CDN/HBET:3-5,"Concrete wall, mid rise, pre code",13.269896193771624,230.1,Res,ALL,RURAL,70.54,1391.25,22580920.5648,6774276.16944,11290460.2824,4516184.1129600005,628.0087961108687,141.78962795512555,593.7754086260693,314.5155972154687,350.0268779322212,34,Lint,2,Vlaanderen,2,Antwerpen
4.4861,51.1239,MUR/LWAL+CDN/H:1,"Unreinforced masonry, low rise",1209.12,1209.12,Res,ALL,RURAL,90.0,1258.75,136983623.04,41095086.91199999,68491811.52,27396724.608000003,3300.0347481685085,745.0702953198671,3120.146554011095,1652.7036023692633,1839.3068172334085,34,Lint,2,Vlaanderen,2,Antwerpen
4.4861,51.1239,MUR/LWAL+CDN/H:2,"Unreinforced masonry, low rise",1219.62,1219.62,Res,ALL,RURAL,80.0,1258.75,122820612.48,36846183.744,61410306.24,24564122.496,3328.6922551618327,751.5404869475457,3147.241911640707,1667.0556830766186,1855.2793605549566,34,Lint,2,Vlaanderen,2,Antwerpen
4.4861,51.1239,MUR/LWAL+CDN/HBET:3-5,"Unreinforced masonry, mid rise",1.9031141868512111,33.0,Res,ALL,RURAL,70.54,1258.75,2930259.816,879077.9448,1465129.908,586051.9632,90.06645055045055,20.3348879727038,85.15683826449495,45.10653936597335,50.19942186772403,34,Lint,2,Vlaanderen,2,Antwerpen
4.4861,51.1239,W/LWAL+CDN/H:1,"Wood, low rise",20.880000000000006,20.880000000000006,Res,ALL,RURAL,90.0,1258.75,2365536.960000001,709661.0880000001,1182768.4800000004,473107.3920000002,56.98749962101236,12.866438208183498,53.88105402917135,28.54013763519768,31.762543290850843,34,Lint,2,Vlaanderen,2,Antwerpen
4.4861,51.1239,W/LWAL+CDN/H:2,"Wood, low rise",20.880000000000006,20.880000000000006,Res,ALL,RURAL,80.0,1258.75,2102699.5200000005,630809.856,1051349.7600000002,420539.9040000001,56.98749962101236,12.866438208183498,53.88105402917135,28.54013763519768,31.762543290850843,34,Lint,2,Vlaanderen,2,Antwerpen
4.448,51.176,CR+PC/LWAL+CDN/HBET:3-5,"Concrete wall, mid rise",24.518454440599772,425.15,Res,ALL,RURAL,70.54,1391.25,41722200.6872,12516660.206160001,20861100.3436,8344440.137440002,935.7318034466696,211.26625152087692,884.724127108988,468.6275874113404,521.5393220137352,36,Mortsel,2,Vlaanderen,2,Antwerpen
4.448,51.176,CR/LFINF+CDN/H:2,"Concrete frame with infill panels, low rise, pre code",67.95,67.95,Res,ALL,RURAL,80.0,1391.25,7562563.2,2268768.96,3781281.6,1512512.64,149.55421861507983,33.76582803914757,141.40186860415326,74.8988464414926,83.3555143615978,36,Mortsel,2,Vlaanderen,2,Antwerpen
4.448,51.176,CR/LFINF+CDN/HBET:3-5,"Concrete frame with infill panels, mid rise, pre code",162.36159169550172,2815.35,Res,ALL,RURAL,70.54,1391.25,276285070.4568,82885521.13703999,138142535.2284,55257014.091359995,6196.4307487559245,1399.0084469464914,5858.65711221049,3103.259269007449,3453.6416093881435,36,Mortsel,2,Vlaanderen,2,Antwerpen
4.448,51.176,CR/LWAL+CDN/HBET:3-5,"Concrete wall, mid rise, pre code",37.19723183391004,645.0,Res,ALL,RURAL,70.54,1391.25,63297234.96,18989170.488,31648617.48,12659446.992,1419.6095806729434,320.5144824908048,1342.2252428208803,710.9603525351396,791.2333592822749,36,Mortsel,2,Vlaanderen,2,Antwerpen
4.448,51.176,MUR/LWAL+CDN/H:1,"Unreinforced masonry, low rise",3028.15,3028.15,Res,ALL,RURAL,90.0,1258.75,343065169.8,102919550.94,171532584.9,68613033.96000001,6664.791863123679,1504.753380084543,6301.487393872945,3337.821072138422,3714.6872820319704,36,Mortsel,2,Vlaanderen,2,Antwerpen
4.448,51.176,MUR/LWAL+CDN/H:2,"Unreinforced masonry, low rise",3453.3,3453.3,Res,ALL,RURAL,80.0,1258.75,347761123.20000005,104328336.96,173880561.60000002,69552224.64000002,7600.5236665703505,1716.0196316054205,7186.211520981934,3806.4486595497633,4236.226604045706,36,Mortsel,2,Vlaanderen,2,Antwerpen
4.448,51.176,MUR/LWAL+CDN/HBET:3-5,"Unreinforced masonry, mid rise",77.47404844290658,1343.4,Res,ALL,RURAL,70.54,1258.75,119288213.2368,35786463.97104,59644106.61840001,23857642.647360004,2956.749628955089,667.5645826017786,2795.574249931118,1480.781608675514,1647.9734804028037,36,Mortsel,2,Vlaanderen,2,Antwerpen
4.448,51.176,W/LWAL+CDN/H:1,"Wood, low rise",15.35,15.35,Res,ALL,RURAL,90.0,1258.75,1739032.2,521709.66,869516.1,347806.44,33.78450707492973,7.627747761602873,31.942879809768247,16.91975412622386,18.830127232531666,36,Mortsel,2,Vlaanderen,2,Antwerpen
4.448,51.176,W/LWAL+CDN/H:2,"Wood, low rise",15.35,15.35,Res,ALL,RURAL,80.0,1258.75,1545806.4,463741.92,772903.2,309161.28,33.78450707492973,7.627747761602873,31.942879809768247,16.91975412622386,18.830127232531666,36,Mortsel,2,Vlaanderen,2,Antwerpen
4.5793,51.1916,CR+PC/LWAL+CDN/HBET:3-5,"Concrete wall, mid rise",1.5570934256055364,27.0,Res,ALL,RURAL,70.54,1391.25,2649651.696,794895.5088,1324825.848,529930.3392,69.46849245260161,15.684353086224803,65.68169546051783,34.79079357915722,38.71894737529996,38,Ranst,2,Vlaanderen,2,Antwerpen
4.5793,51.1916,CR/LFINF+CDN/H:2,"Concrete frame with infill panels, low rise, pre code",4.1000000000000005,4.1000000000000005,Res,ALL,RURAL,80.0,1391.25,456313.6,136894.08000000002,228156.8,91262.72000000002,10.548919224283946,2.381698061241544,9.973887088449004,5.28304643239054,5.879543860693697,38,Ranst,2,Vlaanderen,2,Antwerpen
4.5793,51.1916,CR/LFINF+CDN/HBET:3-5,"Concrete frame with infill panels, mid rise, pre code",47.900807381776225,830.5999999999997,Res,ALL,RURAL,70.54,1391.25,81511136.98879999,24453341.096639995,40755568.4944,16302227.397759998,2137.0566604122546,482.49717308956735,2020.5635647965225,1070.2678943277028,1191.1095440712645,38,Ranst,2,Vlaanderen,2,Antwerpen
