LONGITUDE,LATITUDE,TAXONOMY,MACRO_TAXONOMY,BUILDINGS,DWELLINGS,OCCUPANCY,OCCUPANCY_TYPE,SETTLEMENT_TYPE,AREA_PER_DWELLING_SQM,COST_PER_AREA_EUR,TOTAL_REPL_COST_EUR,COST_STRUCTURAL_EUR,COST_NONSTRUCTURAL_EUR,COST_CONTENTS_EUR,OCCUPANTS_PER_ASSET,OCCUPANTS_PER_ASSET_DAY,OCCUPANTS_PER_ASSET_NIGHT,OCCUPANTS_PER_ASSET_TRANSIT,OCCUPANTS_PER_ASSET_AVERAGE,NAME_1
1.5022,42.5493,CR/LFINF+CDL/HBET:3-5,"Concrete frame with infill panels, mid rise, low/moderate code",294.7870833333333,884.36125,RES,ALL,URBAN,60.0,1181.25,62676450.510000005,18802935.153,31338225.255000003,12535290.102000002,2499.3889395489073,453.4716334691769,2329.190550321385,1075.2171266824234,1285.959770157662,La Massana
1.5022,42.5493,MR/LWAL+CDL/H:2,"Confined or reinforced masonry, low rise",0.7042,1.4084,RES,ALL,RURAL,100.0,1050.0,147882.0,44364.6,73941.0,29576.4,3.980360851108291,0.7221688102991305,3.7093141985912212,1.7123193952599778,2.0479341347167765,La Massana
1.5022,42.5493,MR/LWAL+CDL/H:2,"Confined or reinforced masonry, low rise",288.37865,576.7573,RES,ALL,URBAN,100.0,1181.25,68126572.276,20437971.6828,34063286.138,13625314.4552,1630.0362546833157,295.742367795958,1519.037305884401,701.2285564747249,838.6694100516946,La Massana
1.5022,42.5493,MR/LWAL+CDL/H:2,"Confined or reinforced masonry, low rise",1.1022,2.2044,RES,ALL,RURAL,100.0,1050.0,231462.0,69438.59999999999,115731.0,46292.4,6.230022509034765,1.1303316738817046,5.805782896259535,2.6801058432066838,3.2054068044493076,La Massana
1.5022,42.5493,MR/LWAL+CDL/H:2,"Confined or reinforced masonry, low rise",595.9826,1191.9652,RES,ALL,URBAN,100.0,1181.25,140794929.42400002,42238478.8272,70397464.71200001,28158985.884800006,3368.741624414498,611.2008991423955,3139.343794758369,1449.2056968901215,1733.2501302636285,La Massana
1.5022,42.5493,S/LFM+CDL/H:1,"Steel, low rise",192.2524,192.2524,RES,ALL,URBAN,60.0,1125.0,12977037.0,3893111.0999999996,6488518.5,2595407.4000000004,543.3454574806624,98.58079638708901,506.34580520805923,233.74286904452111,279.55649021322307,La Massana
1.5022,42.5493,S/LWAL+CDL/H:1,"Steel, low rise",76.90100000000001,76.90100000000001,RES,ALL,URBAN,60.0,1125.0,5190817.500000001,1557245.2500000002,2595408.7500000005,1038163.5000000002,217.3382300957335,39.43232710095922,202.53836597913448,93.49716788134377,111.82262032047915,La Massana
1.5022,42.5493,W/LFM+CDL/H:1,"Wood, low rise",38.4505,38.4505,RES,ALL,URBAN,100.0,1068.75,4109589.44,1232876.832,2054794.72,821917.888,108.66911504786675,19.71616355047961,101.26918298956724,46.748583940671885,55.91131016023957,La Massana
1.5022,42.5493,CR/LFINF+CDN/HBET:3-5,"Concrete frame with infill panels, mid rise, pre code",0.3878166666666667,1.16345,RES,ALL,RURAL,60.0,1050.0,73297.35,21989.205,36648.675,14659.470000000001,3.2880576221012894,0.5965621585507033,3.0641540502666804,1.4144960845669978,1.691737431128127,La Massana
1.5022,42.5493,CR/LFINF+CDN/HBET:3-5,"Concrete frame with infill panels, mid rise, pre code",294.7870833333333,884.36125,RES,ALL,URBAN,60.0,1181.25,62676450.510000005,18802935.153,31338225.255000003,12535290.102000002,2499.3889395489073,453.4716334691769,2329.190550321385,1075.2171266824234,1285.959770157662,La Massana
1.5295,42.5724,CR/LFINF+CDL/HBET:3-5,"Concrete frame with infill panels, mid rise, low/moderate code",0.7507,2.2521,RES,ALL,RURAL,60.0,1050.0,141882.3,42564.689999999995,70941.15,28376.46,6.364915067093538,1.1548056353679819,5.931489810684736,2.738135542543103,3.2748103295319404,Ordino
1.5295,42.5724,CR/LFINF+CDL/HBET:3-5,"Concrete frame with infill panels, mid rise, low/moderate code",72.78643333333333,218.3593,RES,ALL,URBAN,60.0,1181.25,15475560.3096,4642668.092879999,7737780.1548,3095112.0619200002,617.1288605306977,111.96754055266607,575.1048536439994,265.4838987694219,317.5187643220291,Ordino
1.5295,42.5724,MR/LWAL+CDL/H:2,"Confined or reinforced masonry, low rise",1.3631,2.7262,RES,ALL,RURAL,100.0,1050.0,286251.0,85875.3,143125.5,57250.200000000004,7.704949867992528,1.3979321693994882,7.1802736017817095,3.3146077936114415,3.964271188264213,Ordino
1.5295,42.5724,MR/LWAL+CDL/H:2,"Confined or reinforced masonry, low rise",71.20415,142.4083,RES,ALL,URBAN,100.0,1181.25,16821268.395999998,5046380.518799999,8410634.197999999,3364253.6791999997,402.4753515042814,73.02231044947628,375.0683899682459,173.14167641432982,207.07745894401737,Ordino
1.5295,42.5724,MR/LWAL+CDL/H:2,"Confined or reinforced masonry, low rise",2.13355,4.2671,RES,ALL,RURAL,100.0,1050.0,448045.5,134413.65,224022.75,89609.1,12.05990105274111,2.188064027701978,11.238670030653653,5.188072953680803,6.204935670678811,Ordino
1.5295,42.5724,MR/LWAL+CDL/H:2,"Confined or reinforced masonry, low rise",147.1552,294.3104,RES,ALL,URBAN,100.0,1181.25,34763944.448,10429183.3344,17381972.224,6952788.8896,831.782369557114,150.91277065585587,775.1413173197528,357.826121124514,427.96006970004083,Ordino
1.5295,42.5724,S/LFM+CDL/H:1,"Steel, low rise",47.4694,47.4694,RES,ALL,URBAN,60.0,1125.0,3204184.5,961255.35,1602092.25,640836.9,134.1584505014271,24.34077014982542,125.02279665608194,57.71389213810992,69.02581964800576,Ordino
