LONGITUDE,LATITUDE,TAXONOMY,MACRO_TAXONOMY,BUILDINGS,OCCUPANCY,OCCUPANCY_TYPE,AREA_PER_BUILDING_SQM,COST_PER_AREA_EUR,TOTAL_REPL_COST_EUR,COST_STRUCTURAL_EUR,COST_NONSTRUCTURAL_EUR,COST_CONTENTS_EUR,OCCUPANTS_PER_ASSET,OCCUPANTS_PER_ASSET_DAY,OCCUPANTS_PER_ASSET_NIGHT,OCCUPANTS_PER_ASSET_TRANSIT,OCCUPANTS_PER_ASSET_AVERAGE,NAME_2,NAME_1
21.1902,42.8895,CR/LFINF+CDM/H:5/2.5,"Concrete frame with infill panels, mid rise, low/moderate code",8.077100000000002,COM,Hotels,909.4057,756.0,5553092.749279321,1110618.5498558644,1665927.8247837962,2776546.3746396606,1046.2568420758378,382.58526257029257,23.79658874459389,46.69235034816048,151.02473388768232,Podujeve,Pristina
21.1902,42.8895,CR/LFINF+CDM/H:5/2.5,"Concrete frame with infill panels, mid rise, low/moderate code",8.9318,COM,Offices,464.7626,840.0,3486979.9361712006,697395.9872342402,1046093.9808513601,1743489.9680856003,591.2829306131044,216.2147248787592,13.448434615329754,26.387774627401622,85.3503113738302,Podujeve,Pristina
21.1902,42.8895,MCF/LWAL+CDL/H:1,"Confined or reinforced masonry, low rise",12.6614,COM,Hotels,90.9406,756.0,870485.0965070401,174097.01930140803,261145.528952112,435242.54825352004,164.00788340222368,59.972844727632825,3.7302773040418766,7.3193438204744385,23.674155284049714,Podujeve,Pristina
21.1902,42.8895,MCF/LWAL+CDL/H:1,"Confined or reinforced masonry, low rise",6.517800000000001,COM,Offices,92.9525,840.0,508910.47578000015,101782.09515600004,152673.14273400005,254455.23789000008,86.29532806240212,31.55565576024261,1.962744089115305,3.8511879007688816,12.456529250042268,Podujeve,Pristina
21.1902,42.8895,MCF/LWAL+CDL/H:1,"Confined or reinforced masonry, low rise",114.492,COM,Trade,64.2388,630.0,4633542.074448,926708.4148896,1390062.6223344,2316771.037224,1047.6054301235965,383.07840143601055,23.82726170544614,46.75253513555586,151.21939942567084,Podujeve,Pristina
21.1902,42.8895,MCF/LWAL+CDL/H:2,"Confined or reinforced masonry, low rise",5.894100000000001,COM,Hotels,363.7623,756.0,1620902.8375570802,324180.56751141604,486270.85126712406,810451.4187785401,305.3939058292023,111.67354224151731,6.9460316911322915,13.62911922934564,44.08289772066508,Podujeve,Pristina
21.1902,42.8895,MCF/LWAL+CDL/H:2,"Confined or reinforced masonry, low rise",6.517800000000001,COM,Offices,185.9051,840.0,1017821.4990552003,203564.29981104005,305346.4497165601,508910.7495276001,172.5907489628969,63.11134546863698,3.9254902897866084,7.702379944716162,24.91307190104658,Podujeve,Pristina
21.1902,42.8895,MCF/LWAL+CDL/H:2,"Confined or reinforced masonry, low rise",25.0792,COM,Trade,128.4775,630.0,2029931.1383399998,405986.227668,608979.3415019999,1014965.5691699999,458.95059311731796,167.8246928605062,10.43860176515684,20.482047069639666,66.24844723176757,Podujeve,Pristina
21.1902,42.8895,MCF/LWAL+CDL/H:3,"Confined or reinforced masonry, low rise",8.950299999999997,COM,Hotels,545.6434,756.0,3692056.125003119,738411.2250006238,1107616.8375009357,1846028.0625015595,695.6193884234755,254.36748957450644,15.821515179997737,31.04410206656286,100.41103560702236,Podujeve,Pristina
21.1902,42.8895,MCF/LWAL+CDL/H:3,"Confined or reinforced masonry, low rise",14.0012,COM,Offices,278.8576,840.0,3279646.4644608,655929.29289216,983893.93933824,1639823.2322304,556.1256469432348,203.3587433805561,12.648799776900402,24.81877537178268,80.27543950974639,Podujeve,Pristina
