LONGITUDE,LATITUDE,TAXONOMY,MACRO_TAXONOMY,BUILDINGS,OCCUPANCY,AREA_PER_BUILDING_SQM,COST_PER_AREA_EUR,TOTAL_REPL_COST_EUR,COST_STRUCTURAL_EUR,COST_NONSTRUCTURAL_EUR,COST_CONTENTS_EUR,OCCUPANTS_PER_ASSET,OCCUPANTS_PER_ASSET_DAY,OCCUPANTS_PER_ASSET_NIGHT,OCCUPANTS_PER_ASSET_TRANSIT,OCCUPANTS_PER_ASSET_AVERAGE,ID_1,NAME_1,ID_2,NAME_2,NAME_3,ID_3
19.7098,41.6559,S+SL/LFM+CDM/H:1,"Steel, low rise",0.9376317888,Ind,315,500.0,147677.00673599998,22151.5510104,36919.251683999995,88606.20404160002,36.80701794488499,11.715563390803055,0.5273709531143121,1.1176082928784878,4.4535142122652855,9,Lezhe,26,Kurbinit,Milot,49q269
19.7098,41.6559,S/LFM+CDM/H:1,"Steel, low rise",1.172039736,Ind,315,500.0,184596.25842,27689.438762999995,46149.06460499999,110757.75505199998,46.00877243110622,14.64445423850382,0.65921369139289,1.3970103660981097,5.566892765331607,9,Lezhe,26,Kurbinit,Milot,49q269
19.7098,41.6475,CR+PC/LFM+CDM/H:1,"Concrete frame, low rise",1.13676791835,Ind,315,525.0,187992.99449713124,28198.949174569683,46998.24862428281,112795.79669827873,71.58356176284613,22.784832958428634,1.0256492729380593,2.17356326936706,8.661348500244584,9,Lezhe,26,Kurbinit,Lac,49q267
19.7098,41.6475,CR/LFINF+CDM/H:2,"Concrete frame with infill panels, low rise, low/moderate code",1.89461319725,Ind,315,525.0,313321.65749521874,46998.24862428281,78330.41437380468,187992.99449713124,119.30593627141023,37.97472159738106,1.7094154548967655,3.6226054489451,14.435580833740973,9,Lezhe,26,Kurbinit,Lac,49q267
19.7098,41.6475,CR/LFINF+CDM/HBET:3-5,"Concrete frame with infill panels, mid rise, low/moderate code",0.6820607510100001,Ind,315,525.0,112795.79669827875,16919.369504741815,28198.949174569687,67677.47801896726,42.95013705770769,13.670899775057185,0.6153895637628356,1.3041379616202362,5.196809100146752,9,Lezhe,26,Kurbinit,Lac,49q267
19.7098,41.6475,MCF/LWAL+CDL/H:1,"Confined or reinforced masonry, low rise",1.13676791835,Ind,315,525.0,187992.99449713124,28198.949174569683,46998.24862428281,112795.79669827873,71.58356176284613,22.784832958428634,1.0256492729380593,2.17356326936706,8.661348500244584,9,Lezhe,26,Kurbinit,Lac,49q267
19.7098,41.6475,S+SL/LFM+CDM/H:1,"Steel, low rise",1.21255244624,Ind,315,500.0,190977.0102828,28646.551542419995,47744.2525707,114586.20616967998,76.35579921370254,24.303821822323872,1.0940258911339296,2.318467487324863,9.238771733594222,9,Lezhe,26,Kurbinit,Lac,49q267
19.7098,41.6475,S/LFM+CDM/H:1,"Steel, low rise",1.5156905578000002,Ind,315,500.0,238721.26285350003,35808.189428025005,59680.31571337501,143232.75771210002,95.4447490171282,30.379777277904854,1.3675323639174126,2.8980843591560803,11.548464666992778,9,Lezhe,26,Kurbinit,Lac,49q267
19.701499999999896,41.6475,CR+PC/LFM+CDM/H:1,"Concrete frame, low rise",0.07915666874999999,Ind,315,525.0,13090.53409453125,1963.5801141796876,3272.6335236328123,7854.320456718749,4.984584975472692,1.5865784439380313,0.07141913352857271,0.15135193819525278,0.603116505220619,9,Lezhe,26,Kurbinit,Lac,49q267
19.701499999999896,41.6475,CR/LFINF+CDM/H:2,"Concrete frame with infill panels, low rise, low/moderate code",0.13192778125,Ind,315,525.0,21817.556824218747,3272.633523632812,5454.389206054687,13090.534094531247,8.307641625787817,2.644297406563385,0.11903188921428785,0.2522532303254213,1.0051941753676985,9,Lezhe,26,Kurbinit,Lac,49q267
19.701499999999896,41.6475,CR/LFINF+CDM/HBET:3-5,"Concrete frame with infill panels, mid rise, low/moderate code",0.04749400125,Ind,315,525.0,7854.32045671875,1178.1480685078125,1963.580114179688,4712.59227403125,2.990750985283615,0.9519470663628188,0.04285148011714363,0.09081116291715167,0.3618699031323714,9,Lezhe,26,Kurbinit,Lac,49q267
19.701499999999896,41.6475,MCF/LWAL+CDL/H:1,"Confined or reinforced masonry, low rise",0.07915666874999999,Ind,315,525.0,13090.53409453125,1963.5801141796876,3272.6335236328123,7854.320456718749,4.984584975472692,1.5865784439380313,0.07141913352857271,0.15135193819525278,0.603116505220619,9,Lezhe,26,Kurbinit,Lac,49q267
19.701499999999896,41.6475,S+SL/LFM+CDM/H:1,"Steel, low rise",0.08443378,Ind,315,500.0,13298.32035,1994.7480525,3324.5800875,7978.9922099999985,5.316890640504204,1.6923503402005666,0.07618040909714423,0.16144206740826966,0.6433242722353268,9,Lezhe,26,Kurbinit,Lac,49q267
19.701499999999896,41.6475,S/LFM+CDM/H:1,"Steel, low rise",0.105542225,Ind,315,500.0,16622.9004375,2493.435065625,4155.725109375,9973.7402625,6.646113300630255,2.115437925250708,0.09522551137143027,0.20180258426033704,0.8041553402941585,9,Lezhe,26,Kurbinit,Lac,49q267
19.7098,41.6559,CR+PC/LFM+CDM/H:1,"Concrete frame, low rise",0.12441560205,Ind,315,525.0,20575.230189018752,3086.284528352813,5143.807547254688,12345.13811341125,4.883971887449323,1.5545535998594568,0.06997754920337387,0.1482969223905112,0.5909426904844474,9,Lezhe,26,Kurbinit,Milot,49q269
19.7098,41.6559,CR/LFINF+CDM/H:2,"Concrete frame with infill panels, low rise, low/moderate code",0.20735933675,Ind,315,525.0,34292.05031503125,5143.807547254687,8573.012578757813,20575.23018901875,8.139953145748871,2.5909226664324283,0.11662924867228977,0.24716153731751864,0.9849044841407456,9,Lezhe,26,Kurbinit,Milot,49q269
19.7098,41.6559,CR/LFINF+CDM/HBET:3-5,"Concrete frame with infill panels, mid rise, low/moderate code",0.07464936123,Ind,315,525.0,12345.13811341125,1851.770717011688,3086.284528352813,7407.08286804675,2.9303831324695935,0.932732159915674,0.04198652952202433,0.08897815343430672,0.35456561429066835,9,Lezhe,26,Kurbinit,Milot,49q269
19.7098,41.6559,MCF/LWAL+CDL/H:1,"Confined or reinforced masonry, low rise",0.12441560205,Ind,315,525.0,20575.230189018752,3086.284528352813,5143.807547254688,12345.13811341125,4.883971887449323,1.5545535998594568,0.06997754920337387,0.1482969223905112,0.5909426904844474,9,Lezhe,26,Kurbinit,Milot,49q269
19.7098,41.6559,S+SL/LFM+CDM/H:1,"Steel, low rise",0.13270997552000002,Ind,315,500.0,20901.821144400004,3135.273171660001,5225.455286100001,12541.092686640002,5.2095700132792775,1.658190506516754,0.07464271915026548,0.15818338388321196,0.630338869850077,9,Lezhe,26,Kurbinit,Milot,49q269
19.7098,41.6559,S/LFM+CDM/H:1,"Steel, low rise",0.1658874694,Ind,315,500.0,26127.276430500002,3919.091464575,6531.819107625,15676.365858299998,6.511962516599095,2.0727381331459416,0.0933033989378318,0.1977292298540149,0.7879235873125962,9,Lezhe,26,Kurbinit,Milot,49q269
19.6263,41.7809,CR+PC/LFM+CDM/H:1,"Concrete frame, low rise",14.297238421500001,Ind,315,525.0,2364405.8039555633,354660.87059333443,591101.4509888907,1418643.4823733375,494.79805638150685,157.4927369520645,7.089466551834231,15.024048183968075,59.86875056262226,9,Lezhe,27,Lezhes,Shengjin,49r276
19.6263,41.7809,CR/LFINF+CDM/H:2,"Concrete frame with infill panels, low rise, low/moderate code",23.8287307025,Ind,315,525.0,3940676.3399259374,591101.4509888906,985169.0849814843,2364405.8039555624,824.6634273025113,262.4878949201074,11.815777586390384,25.04008030661345,99.78125093770376,9,Lezhe,27,Lezhes,Shengjin,49r276
19.6263,41.7809,CR/LFINF+CDM/HBET:3-5,"Concrete frame with infill panels, mid rise, low/moderate code",8.5783430529,Ind,315,525.0,1418643.4823733375,212796.52235600058,354660.8705933344,851186.0894240023,296.87883382890413,94.49564217123869,4.253679931100537,9.014428910380843,35.921250337573355,9,Lezhe,27,Lezhes,Shengjin,49r276
19.6263,41.7809,MCF/LWAL+CDL/H:1,"Confined or reinforced masonry, low rise",14.297238421500001,Ind,315,525.0,2364405.8039555633,354660.87059333443,591101.4509888907,1418643.4823733375,494.79805638150685,157.4927369520645,7.089466551834231,15.024048183968075,59.86875056262226,9,Lezhe,27,Lezhes,Shengjin,49r276
19.6263,41.7809,S+SL/LFM+CDM/H:1,"Steel, low rise",15.2503876496,Ind,315,500.0,2401936.0548119997,360290.4082218,600484.0137029999,1441161.6328872,527.7845934736073,167.99225274886876,7.562097655289844,16.02565139623261,63.860000600130405,9,Lezhe,27,Lezhes,Shengjin,49r276
19.6263,41.7809,S/LFM+CDM/H:1,"Steel, low rise",19.062984562,Ind,315,500.0,3002420.068515,450363.01027725,750605.01712875,1801452.041109,659.7307418420091,209.990315936086,9.452622069112305,20.032064245290766,79.82500075016301,9,Lezhe,27,Lezhes,Shengjin,49r276
