LONGITUDE,LATITUDE,TAXONOMY,MACRO_TAXONOMY,BUILDINGS,OCCUPANCY,AREA_PER_BUILDING_SQM,COST_PER_AREA_EUR,TOTAL_REPL_COST_EUR,COST_STRUCTURAL_EUR,COST_NONSTRUCTURAL_EUR,COST_CONTENTS_EUR,OCCUPANTS_PER_ASSET,OCCUPANTS_PER_ASSET_DAY,OCCUPANTS_PER_ASSET_NIGHT,OCCUPANTS_PER_ASSET_TRANSIT,OCCUPANTS_PER_ASSET_AVERAGE,ID_1,NAME_1,ID_2,NAME_2,ID_3,NAME_3
-8.6937,37.1004999999999,CR/LFM+CDM/H:1,"Concrete frame, low rise, low/moderate code",0.27549735102,Ind,586.4194207994318,1391.25,224758.09424994767,33713.71413749214,56189.52356248692,134854.85654996856,50.374307169610034,27.1724805918201,2.5777288593297003,5.374661516307959,11.708290322485919,9,Faro,126,Lagos,1781,Lagos (Santa Maria)
-8.6937,37.1004999999999,S+SL/LFM+CDL/H:1,"Steel, low rise",0.03624965145,Ind,586.4194207994318,1325.0,28166.18697992462,4224.9280469886935,7041.546744981155,16899.712187954767,6.628198311790794,3.57532639366054,0.3391748499118027,0.7071923047773631,1.5405645161165686,9,Faro,126,Lagos,1781,Lagos (Santa Maria)
-8.6937,37.1004999999999,S/LFBR+CDH/H:2,"Steel, low rise",0.18124825725000002,Ind,586.4194207994318,1325.0,140830.93489962307,21124.64023494346,35207.73372490577,84498.56093977384,33.140991558953964,17.876631968302696,1.6958742495590133,3.5359615238868143,7.702822580582841,9,Faro,126,Lagos,1781,Lagos (Santa Maria)
-8.6937,37.1004999999999,S/LFM+CDM/H:1,"Steel, low rise",0.1449986058,Ind,586.4194207994318,1325.0,112664.74791969848,16899.712187954767,28166.18697992462,67598.84875181907,26.512793247163177,14.30130557464216,1.3566993996472108,2.828769219109452,6.1622580644662746,9,Faro,126,Lagos,1781,Lagos (Santa Maria)
-7.7019,37.1505,CR+PC/LFM+CDL/H:2,"Concrete frame, low rise",3.2433222671999995,Ind,586.4194207994318,1391.25,2645988.896500756,396898.33447511337,661497.224125189,1587593.3379004537,44.77738633527429,24.15343712918981,2.291326024855488,4.777500846348923,10.40742133346474,9,Faro,121,Alcoutim,1754,Santo Estevao
-7.7019,37.1505,CR/LFM+CDM/H:1,"Concrete frame, low rise, low/moderate code",10.2705205128,Ind,586.4194207994318,1391.25,8378964.838919062,1256844.7258378593,2094741.2097297653,5027378.903351437,141.79505672836856,76.48588424243438,7.255865745375713,15.12875268010492,32.95683422263834,9,Faro,121,Alcoutim,1754,Santo Estevao
-7.7019,37.1505,S+SL/LFM+CDL/H:1,"Steel, low rise",1.351384278,Ind,586.4194207994318,1325.0,1050033.330896439,157504.99963446587,262508.33272410976,630019.9985378635,18.657244306364287,10.06393213716242,0.9547191770231204,1.9906253526453848,4.336425555610308,9,Faro,121,Alcoutim,1754,Santo Estevao
-7.7019,37.1505,S/LFBR+CDH/H:2,"Steel, low rise",6.75692139,Ind,586.4194207994318,1325.0,5250166.654482195,787524.9981723294,1312541.6636205488,3150099.992689317,93.28622153182144,50.3196606858121,4.7735958851156015,9.953126763226924,21.682127778051537,9,Faro,121,Alcoutim,1754,Santo Estevao
-7.7019,37.1505,S/LFM+CDM/H:1,"Steel, low rise",5.405537112,Ind,586.4194207994318,1325.0,4200133.323585756,630019.9985378635,1050033.330896439,2520079.994151453,74.62897722545715,40.25572854864968,3.8188767080924815,7.962501410581539,17.345702222441233,9,Faro,121,Alcoutim,1754,Santo Estevao
-7.7186,37.0921999999999,CR+PC/LFM+CDL/H:2,"Concrete frame, low rise",0.04695478788,Ind,586.4194207994318,1391.25,38306.969561581005,5746.0454342371495,9576.742390395251,22984.181736948598,2.9066187547686453,1.5678635824378868,0.14873604160964374,0.31012023473066325,0.6755732862593979,9,Faro,121,Alcoutim,1749,Luz
-7.7186,37.0921999999999,CR/LFM+CDM/H:1,"Concrete frame, low rise, low/moderate code",0.14869016162,Ind,586.4194207994318,1391.25,121305.4036116732,18195.810541750983,30326.3509029183,72783.24216700393,9.204292723434042,4.964901344386644,0.4709974650972053,0.9820474099804336,2.139315406488094,9,Faro,121,Alcoutim,1749,Luz
-7.7186,37.0921999999999,S+SL/LFM+CDL/H:1,"Steel, low rise",0.01956449495,Ind,586.4194207994318,1325.0,15201.724730776436,2280.2587096164652,3800.431182694109,9121.034838465865,1.211091147820269,0.6532764926824531,0.0619733506706849,0.12921676447110972,0.28148886927474925,9,Faro,121,Alcoutim,1749,Luz
-7.7186,37.0921999999999,S/LFBR+CDH/H:2,"Steel, low rise",0.09782247475,Ind,586.4194207994318,1325.0,76008.62365388218,11401.293548082329,19002.155913470546,45605.174192329316,6.055455739101344,3.266382463412265,0.3098667533534245,0.6460838223555485,1.4074443463737465,9,Faro,121,Alcoutim,1749,Luz
-7.7186,37.0921999999999,S/LFM+CDM/H:1,"Steel, low rise",0.0782579798,Ind,586.4194207994318,1325.0,60806.89892310575,9121.034838465865,15201.724730776436,36484.13935386345,4.844364591281076,2.6131059707298125,0.2478934026827396,0.5168670578844389,1.125955477098997,9,Faro,121,Alcoutim,1749,Luz
-8.252,37.1171999999999,CR+PC/LFM+CDL/H:2,"Concrete frame, low rise",0.53673869436,Ind,586.4194207994318,1391.25,437885.75682457647,65682.86352368646,109471.43920614412,262731.45409474586,14.985322810469661,8.083255455179655,0.7668214461959484,1.5988515246016557,3.48297614199242,9,Faro,120,Albufeira,1740,Ferreiras
-8.252,37.1171999999999,CR/LFM+CDM/H:1,"Concrete frame, low rise, low/moderate code",1.69967253214,Ind,586.4194207994318,1391.25,1386638.2299444922,207995.73449167388,346659.55748612306,831982.9379666953,47.453522233153926,25.59697560806891,2.4282679129538365,5.063029827905242,11.029424449642661,9,Faro,120,Albufeira,1740,Ferreiras
-8.252,37.1171999999999,S+SL/LFM+CDL/H:1,"Steel, low rise",0.22364112265,Ind,586.4194207994318,1325.0,173770.43433503565,26065.565150255352,43442.60858375891,104262.26060102141,6.243884504362359,3.3680231063248565,0.3195089359149785,0.6661881352506898,1.4512400591635082,9,Faro,120,Albufeira,1740,Ferreiras
