LONGITUDE,LATITUDE,TAXONOMY,MACRO_TAXONOMY,BUILDINGS,DWELLINGS,OCCUPANCY,OCCUPANCY_TYPE,SETTLEMENT_TYPE,AREA_PER_DWELLING_SQM,COST_PER_AREA_EUR,TOTAL_REPL_COST_EUR,COST_STRUCTURAL_EUR,COST_NONSTRUCTURAL_EUR,COST_CONTENTS_EUR,OCCUPANTS_PER_ASSET,OCCUPANTS_PER_ASSET_DAY,OCCUPANTS_PER_ASSET_NIGHT,OCCUPANTS_PER_ASSET_TRANSIT,OCCUPANTS_PER_ASSET_AVERAGE,NAME_2,NAME_1
19.6656,49.074,W/LFM+CDL/H:2,"Wood, low rise",10.05,10.05,RES,ALL,URBAN,100.0,890.625,895053.0000000001,268515.9,447526.50000000006,179010.60000000003,37.959750451303414,8.384378860806867,35.97193117929523,19.121351215583715,21.15922041856194,Liptovsky Mikulas,Zilinsky
19.6656,49.074,W/LFM+CDL/HBET:3-5,"Wood, mid rise",0.6498637602179838,4.7700000000000005,RES,ALL,URBAN,69.0,890.625,293123.178,87936.9534,146561.589,58624.63560000001,18.016717378379827,3.9794514593083337,17.0732449477849,9.075506994859136,10.042734467317457,Liptovsky Mikulas,Zilinsky
19.6656,49.074,W/LFM+CDN/H:1,"Wood, low rise",20.1,20.1,RES,ALL,URBAN,105.0,890.625,1879611.3,563883.39,939805.65,375922.26,75.91950090260683,16.768757721613735,71.94386235859047,38.24270243116743,42.31844083712388,Liptovsky Mikulas,Zilinsky
19.6656,49.074,W/LFM+CDN/H:2,"Wood, low rise",18.68,18.68,RES,ALL,URBAN,100.0,890.625,1663640.8,499092.24,831820.4,332728.16000000003,70.55603367466145,15.584099215907687,66.86126113723729,35.54097917483619,39.32877984266039,Liptovsky Mikulas,Zilinsky
19.6656,49.074,W/LFM+CDN/HBET:3-5,"Wood, mid rise",0.4564032697547684,3.35,RES,ALL,URBAN,69.0,890.625,205862.19,61758.657,102931.095,41172.438,12.65325015043447,2.794792953602289,11.990643726431745,6.373783738527904,7.05307347285398,Liptovsky Mikulas,Zilinsky
18.9353,49.0674,CR+PC/LWAL+CDN/HBET:3-5,"Concrete wall, mid rise",662.3978201634877,4862.0,RES,ALL,URBAN,69.0,984.375,330244543.1999999,99073362.95999998,165122271.59999996,66048908.639999986,27710.16681019379,6120.49694928496,26259.082359927776,13958.359196798487,15445.979502003742,Martin,Zilinsky
18.9353,49.0674,CR/LFINF+CDL/H:1,"Concrete frame with infill panels, low rise, low/moderate code",19.2,19.2,RES,ALL,URBAN,105.0,984.375,1984550.4,595365.12,992275.2,396910.08,109.42723215872498,24.16979461667446,103.6969110058851,55.12145137361806,60.99605233205921,Martin,Zilinsky
18.9353,49.0674,CR/LFINF+CDL/H:2,"Concrete frame with infill panels, low rise, low/moderate code",12.8,12.8,RES,ALL,URBAN,100.0,984.375,1260032.0,378009.6,630016.0,252006.40000000002,72.95148810581665,16.113196411116306,69.13127400392341,36.74763424907871,40.664034888039474,Martin,Zilinsky
18.9353,49.0674,CR/LFINF+CDL/HBET:3-5,"Concrete frame with infill panels, mid rise, low/moderate code",114.12125340599455,837.65,RES,ALL,URBAN,69.0,984.375,56896203.53999999,17068861.061999995,28448101.769999996,11379240.707999999,4774.047969674791,1054.4702323259041,4524.047786670816,2404.8168616203734,2661.111626872365,Martin,Zilinsky
18.9353,49.0674,CR/LFINF+CDL/HBET:6-,"Concrete frame with infill panels, mid rise, low/moderate code",39.93888888888889,718.9,RES,ALL,URBAN,62.5,984.375,44230322.5,13269096.75,22115161.25,8846064.5,4097.251937443092,904.9825703087117,3882.693193860978,2063.8964266923967,2283.857396954029,Martin,Zilinsky
