ID_2,TAXONOMY,BUILDINGS,SETTLEMENT_TYPE,DWELLINGS,DWELLINGS_PER_BUILDING
13,MUR+CL/LWAL+CDN/HBET:1-4,449.4772,URBAN,898.9544,2
13,W/LPB+CDL/HBET:1-3,576.905,RURAL,576.905,1
13,W/LPB+CDL/HBET:1-3,544.0274,URBAN,544.0274,1
13,W/LWAL+CDL/HBET:1-3,297.7077,RURAL,893.1231,3
13,W/LWAL+CDL/HBET:1-3,280.7414,URBAN,842.2242,3
14,CR/LFINF+CDN/H:3,2163.3026,RURAL,6489.9078,3
14,CR/LFINF+CDN/H:3,1372.5996,URBAN,4117.7988,3
14,CR/LWAL+CDN/HBET:4-10,115.3029,RURAL,1153.029,10
14,CR/LWAL+CDN/HBET:4-10,73.1589,URBAN,731.589,10
14,MUR+CB/LWAL+CDN/HBET:1-2,713.78,RURAL,713.78,1
14,MUR+CB/LWAL+CDN/HBET:1-2,452.8882,URBAN,452.8882,1
14,MUR+CB/LWAL+CDN/HBET:1-4,122.1662,RURAL,488.6648,4
14,MUR+CB/LWAL+CDN/HBET:1-4,77.5136,URBAN,310.0544,4
14,MUR+CL/LWAL+CDN/HBET:1-4,59.0241,RURAL,236.0964,4
14,MUR+CL/LWAL+CDN/HBET:1-4,37.4504,URBAN,149.8016,4
14,MUR+CL/LWAL+CDN/HBET:1-4,424.1501,RURAL,848.3002,2
14,MUR+CL/LWAL+CDN/HBET:1-4,269.1201,URBAN,538.2402,2
14,W/LPB+CDL/HBET:1-3,513.3726,RURAL,513.3726,1
14,W/LPB+CDL/HBET:1-3,325.7311,URBAN,325.7311,1
14,W/LWAL+CDL/HBET:1-3,264.9222,RURAL,794.7666,3
14,W/LWAL+CDL/HBET:1-3,168.0912,URBAN,504.2736,3
15,CR/LFINF+CDN/H:3,4666.4558,RURAL,13999.3674,3
15,CR/LFINF+CDN/H:3,28496.1309,URBAN,85488.3927,3
15,CR/LWAL+CDN/HBET:4-10,248.7197,RURAL,2487.197,10
15,CR/LWAL+CDN/HBET:4-10,1518.8293,URBAN,15188.293,10
15,MUR+CB/LWAL+CDN/HBET:1-2,1539.6935,RURAL,1539.6935,1
15,MUR+CB/LWAL+CDN/HBET:1-2,9402.2767,URBAN,9402.2767,1
15,MUR+CB/LWAL+CDN/HBET:1-4,263.5245,RURAL,1054.098,4
15,MUR+CB/LWAL+CDN/HBET:1-4,1609.2358,URBAN,6436.9432,4
15,MUR+CL/LWAL+CDN/HBET:1-4,127.3208,RURAL,509.2832,4
15,MUR+CL/LWAL+CDN/HBET:1-4,777.496,URBAN,3109.984,4
15,MUR+CL/LWAL+CDN/HBET:1-4,914.9333,RURAL,1829.8666,2
15,MUR+CL/LWAL+CDN/HBET:1-4,5587.1221,URBAN,11174.2442,2
15,W/LPB+CDL/HBET:1-3,1107.395,RURAL,1107.395,1
15,W/LPB+CDL/HBET:1-3,6762.4067,URBAN,6762.4067,1
15,W/LWAL+CDL/HBET:1-3,571.4632,RURAL,1714.3896,3
15,W/LWAL+CDL/HBET:1-3,3489.6912,URBAN,10469.0736,3
16,CR/LFINF+CDN/H:3,2029.7666,RURAL,6089.2998,3
16,CR/LFINF+CDN/H:3,1020.3548,URBAN,3061.0644,3
16,CR/LWAL+CDN/HBET:4-10,108.1855,RURAL,1081.855,10
16,CR/LWAL+CDN/HBET:4-10,54.3844,URBAN,543.844,10
16,MUR+CB/LWAL+CDN/HBET:1-2,669.7199,RURAL,669.7199,1
16,MUR+CB/LWAL+CDN/HBET:1-2,336.6653,URBAN,336.6653,1
16,MUR+CB/LWAL+CDN/HBET:1-4,114.6251,RURAL,458.5004,4
16,MUR+CB/LWAL+CDN/HBET:1-4,57.6216,URBAN,230.4864,4
16,MUR+CL/LWAL+CDN/HBET:1-4,55.3807,RURAL,221.5228,4
16,MUR+CL/LWAL+CDN/HBET:1-4,27.8396,URBAN,111.3584,4
